contigName	contigLen	totalAvgDepth	mapped_reads_sorted.bam	mapped_reads_sorted.bam-var
k141_12420	1040	4.22584	4.22584	3.3629
k141_3588	7948	6.82072	6.82072	10.0427
k141_3589	1815	4.58619	4.58619	4.8774
k141_12421	7404	6.58492	6.58492	9.66514
k141_3590	2905	6.13212	6.13212	6.053
k141_3592	1395	5.89478	5.89478	12.9818
k141_12422	4853	4.79098	4.79098	5.27075
k141_3593	4246	6.22046	6.22046	13.1511
k141_10662	16904	144.405	144.405	356.647
k141_3594	1552	4.5321	4.5321	3.71953
k141_12423	5258	214.079	214.079	6177.15
k141_3597	1273	4.62422	4.62422	2.40411
k141_12424	1808	4.68154	4.68154	4.2582
k141_3598	3454	6.85018	6.85018	8.45371
k141_12425	3957	7.34279	7.34279	19.236
k141_3600	2118	5.48069	5.48069	8.40027
k141_12427	2184	5.21632	5.21632	5.42889
k141_3602	2650	7.444	7.444	27.7642
k141_12428	1673	4.83322	4.83322	3.06809
k141_3607	1251	4.79292	4.79292	0.949806
k141_3609	1355	68.0963	68.0963	597.854
k141_12430	4361	5.15056	5.15056	4.15215
k141_12431	2104	6.69294	6.69294	9.59433
k141_3613	8918	188.729	188.729	407.83
k141_12432	7945	6.34907	6.34907	7.71411
k141_12433	4608	5.78937	5.78937	7.57125
k141_3616	4336	6.75418	6.75418	7.75832
k141_3617	1138	5.04049	5.04049	2.53331
k141_12435	2435	6.45208	6.45208	9.59894
k141_12436	2911	28.2231	28.2231	59.4705
k141_12437	1384	4.00486	4.00486	3.79722
k141_3619	8968	6.56317	6.56317	10.1428
k141_3620	2987	6.06486	6.06486	15.9111
k141_3621	5564	5.56686	5.56686	6.39011
k141_3622	6372	5.84989	5.84989	11.3685
k141_3623	3251	1191.48	1191.48	157423
k141_3624	1718	3.87117	3.87117	2.64198
k141_3625	1665	7.30759	7.30759	12.8709
k141_3627	7320	4.97476	4.97476	5.65126
k141_3630	3929	5.45541	5.45541	6.55304
k141_3631	2973	265.525	265.525	3296.98
k141_3632	1505	5.32103	5.32103	7.69961
k141_3634	1436	6.84837	6.84837	7.95756
k141_3635	1361	6.11065	6.11065	9.72823
k141_3636	1669	4.31797	4.31797	4.33557
k141_3637	7736	6.0957	6.0957	8.83166
k141_1821	127063	96.4274	96.4274	223.347
k141_1822	1608	6.04664	6.04664	5.9566
k141_1823	1477	5.77694	5.77694	6.05882
k141_1824	1879	5.02082	5.02082	5.94518
k141_3638	10976	7.09764	7.09764	11.6683
k141_3639	1592	4.75381	4.75381	9.43622
k141_1828	3033	4.83489	4.83489	6.02761
k141_1829	6207	7.02873	7.02873	14.3799
k141_3641	9388	7.11669	7.11669	11.0238
k141_1831	6041	5.62825	5.62825	6.96835
k141_1832	1257	4.36134	4.36134	4.75355
k141_3642	2429	5.77622	5.77622	7.05877
k141_1833	1163	4.13327	4.13327	4.39229
k141_12439	84528	167.326	167.326	352.697
k141_12440	1573	4.81167	4.81167	7.67195
k141_3643	3267	6.31344	6.31344	8.47008
k141_12441	1198	5.12882	5.12882	4.26133
k141_1837	1561	3.75974	3.75974	2.81102
k141_3645	1195	6.64498	6.64498	18.0855
k141_5323	245590	194.611	194.611	511.684
k141_5324	1208	5.30246	5.30246	2.22631
k141_1839	2215	5.06973	5.06973	8.6134
k141_12443	2966	6.77237	6.77237	9.28067
k141_1840	1346	6.58027	6.58027	4.53498
k141_3647	1244	4.82175	4.82175	6.57114
k141_5325	3837	6.64849	6.64849	8.02976
k141_3650	1255	5.4914	5.4914	9.22298
k141_12444	2900	5.63636	5.63636	11.3439
k141_1843	3522	5.85854	5.85854	5.74237
k141_5326	4481	5.78342	5.78342	7.78392
k141_1844	2919	4.74648	4.74648	3.65897
k141_5328	1497	4.77431	4.77431	5.44974
k141_1845	4183	6.49318	6.49318	14.3397
k141_1846	1051	3.44839	3.44839	3.46987
k141_12446	5917	4.43766	4.43766	4.57179
k141_5329	3866	7.53391	7.53391	8.98926
k141_1847	2744	5.57247	5.57247	5.67795
k141_1848	1734	4.80177	4.80177	2.93982
k141_3651	9379	5.12732	5.12732	5.50108
k141_12447	4444	4.90615	4.90615	6.44552
k141_5330	3469	5.21754	5.21754	3.43485
k141_1850	1776	227.723	227.723	465.726
k141_3652	2023	5.49386	5.49386	8.06847
k141_12448	3052	4.87457	4.87457	5.71539
k141_5331	3443	4.80261	4.80261	5.36563
k141_1851	4322	6.33006	6.33006	7.85125
k141_5334	1239	5.17539	5.17539	4.74585
k141_3653	5586	5.92182	5.92182	12.1348
k141_12449	4104	4.68513	4.68513	4.76927
k141_5335	1792	5.29781	5.29781	6.13127
k141_12450	1401	199.926	199.926	633.262
k141_5336	1463	4.2559	4.2559	3.91007
k141_1852	3793	5.32775	5.32775	6.72996
k141_7	269819	133.97	133.97	314.956
k141_3654	3490	5.50988	5.50988	10.2391
k141_3656	1329	5.59627	5.59627	2.46506
k141_5338	1926	5.24944	5.24944	4.42392
k141_12451	4924	5.62421	5.62421	9.63536
k141_3657	1004	7.07845	7.07845	9.20018
k141_8	3261	8.47573	8.47573	559.625
k141_5339	2402	5.56616	5.56616	6.42874
k141_9	2487	4.5721	4.5721	3.77232
k141_5340	1629	4.82285	4.82285	5.18644
k141_5341	1557	5.42431	5.42431	12.3197
k141_12	1776	6.24908	6.24908	6.95886
k141_5342	1688	6.70351	6.70351	8.23083
k141_13	2005	5.12561	5.12561	5.14653
k141_5344	1366	4.85362	4.85362	3.09626
k141_15	1760	8.48075	8.48075	13.7364
k141_12455	8925	6.40752	6.40752	11.4971
k141_16	2522	5.85708	5.85708	9.55054
k141_17	1799	4.76289	4.76289	6.45649
k141_12458	2710	5.89141	5.89141	5.50283
k141_18	1183	5.85286	5.85286	3.77872
k141_5345	7277	7.36537	7.36537	13.3745
k141_7101	268946	49.6966	49.6966	2389.09
k141_19	1452	0	0	0
k141_12459	3248	0	0	0
k141_7103	1463	0	0	0
k141_12460	1652	0	0	0
k141_12461	1110	0	0	0
k141_5346	4361	0	0	0
k141_7105	3118	0	0	0
k141_5347	2434	0	0	0
k141_12462	2819	0	0	0
k141_5348	1134	0	0	0
k141_8867	263442	0	0	0
k141_7106	2539	0	0	0
k141_12463	3622	0	0	0
k141_8868	1643	0	0	0
k141_20	9713	0	0	0
k141_7107	1914	0	0	0
k141_12465	1594	0	0	0
k141_21	2343	0	0	0
k141_12466	1403	0	0	0
k141_8870	3442	0	0	0
k141_12467	1383	0	0	0
k141_12468	1977	0	0	0
k141_7108	6513	0	0	0
k141_8872	2919	0	0	0
k141_23	4935	0	0	0
k141_8873	1394	0	0	0
k141_7109	2031	0	0	0
k141_8875	1110	0	0	0
k141_8877	1214	0	0	0
k141_26	3971	0	0	0
k141_8878	1725	0	0	0
k141_12469	7352	0	0	0
k141_8879	2649	0	0	0
k141_12470	3378	0	0	0
k141_8880	3410	0	0	0
k141_7110	11295	0	0	0
k141_27	7334	0	0	0
k141_7111	1029	0	0	0
k141_12472	4247	0	0	0
k141_7112	1124	0	0	0
k141_28	2685	0	0	0
k141_8881	4242	0	0	0
k141_30	1214	0	0	0
k141_7113	2811	0	0	0
k141_8882	2497	0	0	0
k141_12474	3745	0	0	0
k141_5350	28084	0	0	0
k141_31	2420	0	0	0
k141_12476	1161	0	0	0
k141_32	1007	0	0	0
k141_7114	3738	0	0	0
k141_5352	3047	0	0	0
k141_33	1719	0	0	0
k141_12477	2511	0	0	0
k141_12478	1347	0	0	0
k141_1855	58990	0	0	0
k141_35	1389	0	0	0
k141_36	1650	0	0	0
k141_5355	2940	0	0	0
k141_1857	1801	0	0	0
k141_5357	1176	0	0	0
k141_37	1859	0	0	0
k141_8883	9897	0	0	0
k141_38	1204	0	0	0
k141_12480	4247	0	0	0
k141_5358	1618	0	0	0
k141_8884	1283	0	0	0
k141_12481	1268	0	0	0
k141_5359	1788	0	0	0
k141_41	1364	0	0	0
k141_8885	2355	0	0	0
k141_8886	1405	0	0	0
k141_42	1949	0	0	0
k141_12482	3746	0	0	0
k141_7115	12591	0	0	0
k141_5360	4144	0	0	0
k141_43	1549	0	0	0
k141_1858	9855	0	0	0
k141_12485	1651	0	0	0
k141_5361	2218	0	0	0
k141_1860	1410	0	0	0
k141_7119	2706	0	0	0
k141_44	4228	0	0	0
k141_12487	2757	0	0	0
k141_1861	1569	0	0	0
k141_7120	2091	0	0	0
k141_12489	1092	0	0	0
k141_5362	4342	0	0	0
k141_45	2983	0	0	0
k141_5364	1616	0	0	0
k141_12490	2985	0	0	0
k141_46	1738	0	0	0
k141_5365	1663	0	0	0
k141_8887	11968	0	0	0
k141_5366	1278	0	0	0
k141_1864	5544	0	0	0
k141_7123	4052	0	0	0
k141_12492	2177	0	0	0
k141_12493	1156	0	0	0
k141_5368	1127	0	0	0
k141_47	4123	0	0	0
k141_1866	2391	0	0	0
k141_12494	1856	0	0	0
k141_7124	3305	0	0	0
k141_12495	1058	0	0	0
k141_7125	1263	0	0	0
k141_48	2732	0	0	0
k141_1868	1477	0	0	0
k141_5369	3593	0	0	0
k141_12496	1262	0	0	0
k141_8889	6317	0	0	0
k141_49	1858	0	0	0
k141_12497	1477	0	0	0
k141_12498	1053	0	0	0
k141_7128	2111	0	0	0
k141_8890	2085	0	0	0
k141_50	2528	0	0	0
k141_8891	1843	0	0	0
k141_1869	4676	0	0	0
k141_7129	3032	0	0	0
k141_5370	6035	0	0	0
k141_51	2777	0	0	0
k141_7130	1095	0	0	0
k141_7131	1081	0	0	0
k141_8892	3412	0	0	0
k141_5371	2075	0	0	0
k141_12499	5684	0	0	0
k141_55	1459	0	0	0
k141_5373	1404	0	0	0
k141_8893	2396	0	0	0
k141_1871	5923	0	0	0
k141_56	1639	0	0	0
k141_12500	4949	0	0	0
k141_1872	2258	0	0	0
k141_57	2383	0	0	0
k141_1873	1362	0	0	0
k141_5375	4481	0	0	0
k141_1875	1182	0	0	0
k141_8900	5392	0	0	0
k141_12503	4405	0	0	0
k141_5377	2741	0	0	0
k141_12504	1230	0	0	0
k141_58	5654	0	0	0
k141_8902	2675	0	0	0
k141_5379	1796	0	0	0
k141_8903	1059	0	0	0
k141_7132	13862	0	0	0
k141_12506	2223	0	0	0
k141_7133	1300	0	0	0
k141_59	3356	0	0	0
k141_8906	1495	0	0	0
k141_8907	1014	0	0	0
k141_60	1156	0	0	0
k141_7134	3044	0	0	0
k141_5381	5294	0	0	0
k141_61	2674	0	0	0
k141_62	1059	0	0	0
k141_12508	6537	0	0	0
k141_5385	1798	0	0	0
k141_7136	4235	0	0	0
k141_8908	7166	0	0	0
k141_12509	3359	0	0	0
k141_8909	1089	0	0	0
k141_7138	1336	0	0	0
k141_7139	1410	0	0	0
k141_1876	17228	0	0	0
k141_63	6229	0	0	0
k141_1877	1279	0	0	0
k141_64	1373	0	0	0
k141_8910	4011	0	0	0
k141_12510	5940	0	0	0
k141_7140	3949	0	0	0
k141_12511	3345	0	0	0
k141_12513	1903	0	0	0
k141_7141	6636	0	0	0
k141_8911	10473	0	0	0
k141_8912	3349	0	0	0
k141_12518	4183	0	0	0
k141_8913	2595	0	0	0
k141_12519	3714	0	0	0
k141_65	22281	0	0	0
k141_12521	4898	0	0	0
k141_8914	8089	0	0	0
k141_3658	144340	0	0	0
k141_12522	2721	0	0	0
k141_8916	1380	0	0	0
k141_67	3138	0	0	0
k141_3660	1023	0	0	0
k141_12523	3591	0	0	0
k141_68	2944	0	0	0
k141_8918	3682	0	0	0
k141_12524	1754	0	0	0
k141_3661	4142	0	0	0
k141_70	2210	0	0	0
k141_8920	2149	0	0	0
k141_12525	2145	0	0	0
k141_72	1154	0	0	0
k141_8921	1165	0	0	0
k141_12526	1947	0	0	0
k141_12527	1762	0	0	0
k141_8923	2495	0	0	0
k141_10663	319147	0	0	0
k141_3662	6469	0	0	0
k141_76	1919	0	0	0
k141_10664	2225	0	0	0
k141_10665	1082	0	0	0
k141_78	3016	0	0	0
k141_8924	4661	0	0	0
k141_3663	3906	0	0	0
k141_8925	2075	0	0	0
k141_12528	6715	0	0	0
k141_3664	2358	0	0	0
k141_79	2789	0	0	0
k141_3665	1771	0	0	0
k141_81	2158	0	0	0
k141_12529	3768	0	0	0
k141_3666	1595	0	0	0
k141_83	2125	0	0	0
k141_10667	9104	0	0	0
k141_12530	3990	0	0	0
k141_8926	8626	0	0	0
k141_84	3047	0	0	0
k141_3667	7107	0	0	0
k141_8927	2515	0	0	0
k141_10672	3004	0	0	0
k141_87	3122	0	0	0
k141_3668	2419	0	0	0
k141_8928	2779	0	0	0
k141_10674	1510	0	0	0
k141_8929	1929	0	0	0
k141_8930	1751	0	0	0
k141_5387	66343	0	0	0
k141_8931	1271	0	0	0
k141_89	5780	0	0	0
k141_8932	2825	0	0	0
k141_91	1521	0	0	0
k141_10676	6953	0	0	0
k141_5389	4276	0	0	0
k141_92	2101	0	0	0
k141_5390	1313	0	0	0
k141_10677	3242	0	0	0
k141_12533	15824	0	0	0
k141_5391	2613	0	0	0
k141_12534	1825	0	0	0
k141_10678	3331	0	0	0
k141_93	6583	0	0	0
k141_12535	3333	0	0	0
k141_10682	1887	0	0	0
k141_12536	1513	0	0	0
k141_5392	6596	0	0	0
k141_5394	1082	0	0	0
k141_12540	2105	0	0	0
k141_94	6183	0	0	0
k141_5397	1849	0	0	0
k141_10683	7052	0	0	0
k141_12541	3877	0	0	0
k141_10684	1049	0	0	0
k141_5398	1925	0	0	0
k141_97	2255	0	0	0
k141_5400	1573	0	0	0
k141_12542	3058	0	0	0
k141_5401	2055	0	0	0
k141_12543	1946	0	0	0
k141_102	3766	0	0	0
k141_5402	2677	0	0	0
k141_12545	1867	0	0	0
k141_103	1026	0	0	0
k141_12546	1834	0	0	0
k141_10686	7990	0	0	0
k141_8936	25950	0	0	0
k141_104	3120	0	0	0
k141_8937	1133	0	0	0
k141_12548	1714	0	0	0
k141_5403	4267	0	0	0
k141_105	1415	0	0	0
k141_10687	3808	0	0	0
k141_5409	1199	0	0	0
k141_8940	3963	0	0	0
k141_8941	2208	0	0	0
k141_10688	6273	0	0	0
k141_5413	2847	0	0	0
k141_107	6812	0	0	0
k141_5414	1019	0	0	0
k141_8942	3599	0	0	0
k141_12549	10727	0	0	0
k141_108	2219	0	0	0
k141_10689	3648	0	0	0
k141_5416	1956	0	0	0
k141_12551	1899	0	0	0
k141_8946	1417	0	0	0
k141_10691	2583	0	0	0
k141_10692	1303	0	0	0
k141_12552	3659	0	0	0
k141_109	6049	0	0	0
k141_12553	1851	0	0	0
k141_110	1284	0	0	0
k141_5418	6277	0	0	0
k141_112	1634	0	0	0
k141_10694	4762	0	0	0
k141_12556	2370	0	0	0
k141_5419	2885	0	0	0
k141_10695	2111	0	0	0
k141_12557	2983	0	0	0
k141_115	2243	0	0	0
k141_8947	11251	0	0	0
k141_116	1643	0	0	0
k141_12558	1923	0	0	0
k141_5421	4378	0	0	0
k141_12559	1338	0	0	0
k141_8948	2816	0	0	0
k141_10697	4608	0	0	0
k141_118	2088	0	0	0
k141_5422	3525	0	0	0
k141_12560	3680	0	0	0
k141_120	1822	0	0	0
k141_5423	1770	0	0	0
k141_5425	1016	0	0	0
k141_10698	4485	0	0	0
k141_12561	3050	0	0	0
k141_10699	1393	0	0	0
k141_5427	1795	0	0	0
k141_123	3160	0	0	0
k141_5428	1382	0	0	0
k141_12564	1500	0	0	0
k141_10700	2059	0	0	0
k141_12565	1470	0	0	0
k141_5429	2034	0	0	0
k141_10701	1564	0	0	0
k141_12566	1652	0	0	0
k141_124	4798	0	0	0
k141_127	1240	0	0	0
k141_12568	1414	0	0	0
k141_10705	1682	0	0	0
k141_5430	4646	0	0	0
k141_10706	2318	0	0	0
k141_129	2386	0	0	0
k141_12570	2644	0	0	0
k141_130	1112	0	0	0
k141_10707	1962	0	0	0
k141_10708	2126	0	0	0
k141_132	2630	0	0	0
k141_10709	1023	0	0	0
k141_134	1632	0	0	0
k141_10710	3047	0	0	0
k141_12573	8203	0	0	0
k141_5434	9719	0	0	0
k141_5435	1842	0	0	0
k141_10713	4346	0	0	0
k141_136	5749	0	0	0
k141_12574	3684	0	0	0
k141_10714	1524	0	0	0
k141_137	2956	0	0	0
k141_5437	3920	0	0	0
k141_12575	4370	0	0	0
k141_12576	1440	0	0	0
k141_10715	4979	0	0	0
k141_12578	2035	0	0	0
k141_138	7141	0	0	0
k141_10716	4453	0	0	0
k141_8949	40221	0	0	0
k141_8950	1056	0	0	0
k141_12580	3853	0	0	0
k141_139	2595	0	0	0
k141_8951	1948	0	0	0
k141_12581	1407	0	0	0
k141_10718	3138	0	0	0
k141_10719	1032	0	0	0
k141_12582	2259	0	0	0
k141_10720	1272	0	0	0
k141_8952	2999	0	0	0
k141_140	4086	0	0	0
k141_8953	1335	0	0	0
k141_141	1945	0	0	0
k141_12584	3190	0	0	0
k141_10721	4426	0	0	0
k141_142	2332	0	0	0
k141_12587	1409	0	0	0
k141_145	1098	0	0	0
k141_10722	4592	0	0	0
k141_12588	3525	0	0	0
k141_10724	1949	0	0	0
k141_12589	3353	0	0	0
k141_12590	1547	0	0	0
k141_12591	1147	0	0	0
k141_10725	6221	0	0	0
k141_147	10362	0	0	0
k141_10726	1645	0	0	0
k141_148	2171	0	0	0
k141_12593	4831	0	0	0
k141_10728	1397	0	0	0
k141_12594	1181	0	0	0
k141_150	1557	0	0	0
k141_10729	1439	0	0	0
k141_12595	1672	0	0	0
k141_10730	1487	0	0	0
k141_12596	2494	0	0	0
k141_151	3736	0	0	0
k141_10731	3415	0	0	0
k141_12597	2731	0	0	0
k141_152	3771	0	0	0
k141_10733	4838	0	0	0
k141_1879	198372	0	0	0
k141_12599	6350	0	0	0
k141_12600	2332	0	0	0
k141_1881	1797	0	0	0
k141_10734	5482	0	0	0
k141_12601	1492	0	0	0
k141_1883	1403	0	0	0
k141_10735	1356	0	0	0
k141_12602	1349	0	0	0
k141_10736	2512	0	0	0
k141_1885	2423	0	0	0
k141_12603	2648	0	0	0
k141_12604	1028	0	0	0
k141_1886	2611	0	0	0
k141_12605	2844	0	0	0
k141_10738	4407	0	0	0
k141_10739	1002	0	0	0
k141_12606	2937	0	0	0
k141_12607	1191	0	0	0
k141_12608	3101	0	0	0
k141_12609	3156	0	0	0
k141_10740	8789	0	0	0
k141_12610	3228	0	0	0
k141_3669	171169	0	0	0
k141_10741	3829	0	0	0
k141_12611	1945	0	0	0
k141_3671	1156	0	0	0
k141_3672	1422	0	0	0
k141_10743	2108	0	0	0
k141_12612	2780	0	0	0
k141_3675	1800	0	0	0
k141_10744	2835	0	0	0
k141_10745	1201	0	0	0
k141_12613	3447	0	0	0
k141_10746	1296	0	0	0
k141_10747	1774	0	0	0
k141_3676	4450	0	0	0
k141_12614	4219	0	0	0
k141_3677	1638	0	0	0
k141_10748	2151	0	0	0
k141_12615	1162	0	0	0
k141_12616	1270	0	0	0
k141_3678	4114	0	0	0
k141_1887	30804	0	0	0
k141_3679	3081	0	0	0
k141_1888	2998	0	0	0
k141_10750	6650	0	0	0
k141_10751	1414	0	0	0
k141_1889	1943	0	0	0
k141_3680	3743	0	0	0
k141_10757	1213	0	0	0
k141_1890	3189	0	0	0
k141_12617	11307	0	0	0
k141_3685	4057	0	0	0
k141_12618	4444	0	0	0
k141_1891	6243	0	0	0
k141_12619	2310	0	0	0
k141_1892	1870	0	0	0
k141_12620	1377	0	0	0
k141_1893	1799	0	0	0
k141_1895	2036	0	0	0
k141_10758	13338	0	0	0
k141_12621	5402	0	0	0
k141_3687	9381	0	0	0
k141_1898	2822	0	0	0
k141_10759	2572	0	0	0
k141_155	68788	0	0	0
k141_10760	2710	0	0	0
k141_1899	4120	0	0	0
k141_10761	2009	0	0	0
k141_1902	1160	0	0	0
k141_1903	1283	0	0	0
k141_12622	8994	0	0	0
k141_10762	3267	0	0	0
k141_12624	1168	0	0	0
k141_10763	1737	0	0	0
k141_8954	109495	0	0	0
k141_12625	1894	0	0	0
k141_8959	1268	0	0	0
k141_10764	4242	0	0	0
k141_12626	5564	0	0	0
k141_8960	3178	0	0	0
k141_12627	1763	0	0	0
k141_156	14986	0	0	0
k141_10765	4943	0	0	0
k141_12629	1082	0	0	0
k141_10766	1946	0	0	0
k141_12630	1434	0	0	0
k141_12631	1230	0	0	0
k141_10769	1536	0	0	0
k141_3690	24300	0	0	0
k141_12632	2080	0	0	0
k141_10770	1721	0	0	0
k141_10771	1541	0	0	0
k141_3691	3453	0	0	0
k141_12633	3569	0	0	0
k141_8963	10311	0	0	0
k141_8964	1527	0	0	0
k141_10772	3587	0	0	0
k141_12635	2584	0	0	0
k141_3692	3475	0	0	0
k141_1905	23580	0	0	0
k141_10773	1533	0	0	0
k141_3694	1394	0	0	0
k141_10774	1383	0	0	0
k141_10775	1135	0	0	0
k141_3696	1522	0	0	0
k141_10776	1453	0	0	0
k141_3697	1180	0	0	0
k141_158	18194	0	0	0
k141_3699	1120	0	0	0
k141_8965	8853	0	0	0
k141_159	1877	0	0	0
k141_8966	1328	0	0	0
k141_10777	4375	0	0	0
k141_160	1412	0	0	0
k141_8967	1312	0	0	0
k141_3700	3658	0	0	0
k141_1906	9854	0	0	0
k141_12636	11388	0	0	0
k141_3701	1074	0	0	0
k141_1908	1582	0	0	0
k141_10778	3013	0	0	0
k141_3702	1603	0	0	0
k141_8969	2207	0	0	0
k141_1909	1133	0	0	0
k141_8970	1235	0	0	0
k141_10779	2712	0	0	0
k141_161	5630	0	0	0
k141_3703	3422	0	0	0
k141_10780	1587	0	0	0
k141_1910	4026	0	0	0
k141_12639	5637	0	0	0
k141_162	2344	0	0	0
k141_3704	3246	0	0	0
k141_8971	5458	0	0	0
k141_1913	1119	0	0	0
k141_10781	3600	0	0	0
k141_3705	1860	0	0	0
k141_10784	1462	0	0	0
k141_12640	4311	0	0	0
k141_8972	3524	0	0	0
